,Date,Description,Debits,Category,Month
0,2021-02-01,Check Card: Spotify USA 877-7781161 NY  01/31/21,4.99,Activities,February
3,2021-02-04,2005LEEABRAZIL-1 TYPE: WEB PMTS  CO: 2005LEEABRAZIL-1,500.0,Utilities,February
4,2021-02-04,PGANDE TYPE: WEB ONLINE  CO: PGANDE,134.91,Utilities,February
5,2021-02-04,Yardi Service Ch TYPE: WEB PMTS  CO: Yardi Service Ch,0.95,Other,February
21,2021-03-02,2005LEEABRAZIL-1 TYPE: WEB PMTS  CO: 2005LEEABRAZIL-1,500.0,Utilities,March
22,2021-03-02,Yardi Service Ch TYPE: WEB PMTS  CO: Yardi Service Ch,0.95,Other,March
23,2021-03-02,Check Card: Spotify USA 877-7781161 NY  03/02/21,9.99,Activities,March
24,2021-03-03,PGANDE TYPE: WEB ONLINE  CO: PGANDE,138.23,Utilities,March
29,2021-03-12,Check Card: PAYPAL *GREEN STORE 0352563525 SG  03/11/21,35.99,Items,March
30,2021-03-19,H MART - BUENA PARK BUENA PARK CA Card Ending #0935,3.22,Food,March
31,2021-03-20,WILDROSE STATION TEHACHAPI CA Card Ending #0935,21.67,Other,March
32,2021-03-20,FOOD 4 LESS #11 SAN LUIS OBIS CA Card Ending #0935,22.01,Food,March
35,2021-03-24,Check Card: CALPOLY ONTHEHUB COM www kivuto co DE  03/23/21,29.99,Other,March
36,2021-03-24,CALIFORNIA FRESH MARKET SAN LUIS OBIS CA Card Ending #0935,44.68,Food,March
37,2021-03-25,Check Card: THE PAD CLIMBING SAN LUIS OBIS CA  03/24/21,15.0,Activities,March
38,2021-03-26,Check Card: MCDONALD'S F7675 805-459-7823 CA  03/24/21,5.39,Food,March
39,2021-03-27,AMAZON.COM*EH3CV1RQ3 SEATTLE WA Card Ending #0935,26.39,Items,March
40,2021-03-28,TRADER JOE'S # 041 SNLUIS OBISP CA Card Ending #0935,28.61,Food,March
43,2021-03-30,2005LEEABRAZIL-1 TYPE: WEB PMTS  CO: 2005LEEABRAZIL-1,500.0,Utilities,March
44,2021-03-30,PGANDE TYPE: WEB ONLINE  CO: PGANDE,135.44,Utilities,March
45,2021-03-30,Yardi Service Ch TYPE: WEB PMTS  CO: Yardi Service Ch,0.95,Other,March
46,2021-03-30,Check Card: THE PAD CLIMBING SAN LUIS OBIS CA  03/28/21,23.0,Activities,March
47,2021-03-31,Check Card: POPEYES 11979 SAN LUIS OBIS CA  03/30/21,6.46,Food,March
48,2021-04-01,Check Card: Spotify USA 877-7781161 NY  03/31/21,9.99,Activities,April
